Rank,Model,Test_MAE (Days),Test_RMSE (Days),Test_R2,Test_MAPE (%),CV_Mean_MAE,CV_Std_MAE,CV_Mean_R2,Training_Time (s)
1,Ridge Regression,0.893,1.1487,0.757,24.24,0.954,0.0698,0.6786,0.016
2,Linear Regression,0.8943,1.1497,0.7566,24.25,0.9556,0.0696,0.6777,0.0172
3,Random Forest,0.9444,1.2258,0.7233,26.63,1.0005,0.0694,0.6473,0.1714
4,Gradient Boosting,0.9479,1.2243,0.724,26.63,1.0114,0.0687,0.6322,0.3277
5,Decision Tree,0.9987,1.2764,0.7,28.19,1.0938,0.0548,0.5766,0.0196
6,Baseline (Mean),1.8903,2.3306,-0.0002,65.8,1.8087,0.0704,-0.0017,0.0146
